"act_number"|"section_number"|"section_name"|"section_content"
"224"|"1"|"Short title"|"<div class=""prov1Txt"" id=""pr1-.""><strong>1.</strong>&#160;&#160;<a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=DocId%3A%22025e7646-947b-462c-b557-60aa55dc7b42%22%20Status%3Ainforce%20Depth%3A0%20ValidTime%3A19870330000000%20TransactionTime%3A20140617000000;rec=0"">This Act</a> shall be called the <a href=""http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=DocId%3A%22025e7646-947b-462c-b557-60aa55dc7b42%22%20Status%3Ainforce%20Depth%3A0%20ValidTime%3A19870330000000%20TransactionTime%3A20140617000000;rec=0"">Penal Code</a>.</div>"
"224"|"2"|"Punishment of offences committed within Singapore"|"<div class=""prov1Txt"" id=""pr2-.""><strong>2.</strong>&#160;&#160;Every person shall be liable to punishment under this Code and not otherwise for every act or omission contrary to the provisions thereof, of which he is guilty within Singapore.<div class=""sourceNote"">[Indian PC 1860, s. 2]</div></div>"
"224"|"3"|"Punishment of offences committed beyond, but which by law may be tried within Singapore"|"<div class=""prov1Txt"" id=""pr3-.""><strong>3.</strong>&#160;&#160;Any person liable by law to be tried for an offence committed beyond the limits of Singapore, shall be dealt with according to the provisions of this Code for any act committed beyond Singapore, in the same manner as if such act had been committed within Singapore.<div class=""sourceNote"">[Indian PC 1860, s. 3]</div></div>"
"224"|"4"|"Jurisdiction over public servants for offences committed outside Singapore "|"<div class=""prov1Txt"" id=""pr4-.""><strong>4.</strong>&#160;&#160;Every public servant who, being a citizen or a permanent resident of Singapore, when acting or purporting to act in the course of his employment, commits an act or omission outside Singapore that if committed in Singapore would constitute an offence under the law in force in Singapore, is deemed to have committed that act or omission in Singapore.  <div class=""amendNote"">[51/2007]</div></div>"
"224"|"5"|"Certain laws not to be affected by this Code"|"<div class=""prov1Txt"" id=""pr5-.""><strong>5.</strong>&#160;&#160;Nothing in this Code is intended to repeal, vary, suspend, or affect any of the provisions of any Act for punishing mutiny and desertion of officers or servicemen in the Singapore Armed Forces, or of any other law for the time being in force.<div class=""sourceNote"">[Indian PC 1860, s. 5]</div></div>"
"224"|"6"|"Definitions in this Code to be understood subject to exceptions"|"<div class=""prov1Txt"" id=""pr6-.""><strong>6.</strong>&#160;&#160;Throughout this Code every definition of an offence, every penal provision, and every illustration of every such definition or penal provision, shall be understood subject to the exceptions contained in the Chapter entitled &#8220;General Exceptions&#8221;, though those exceptions are not repeated in such definition, penal provision or illustration.<div class=""illus"" id=""pr6-ti-.""><div class=""illusHdr"">Illustration</div><div class=""p1_1""><div class=""illusNo"">(<em>a</em>)</div><div class=""illusP1"">The sections in this Code which contain definitions of offences, do not express, that a child under 7 years of age cannot commit such offences, but the definitions are to be understood subject to the general exception which provides that &#8220;nothing shall be an offence which is done by a child under 7 years of age&#8221;.</div></div><div class=""p1_1""><div class=""illusNo"">(<em>b</em>)</div><div class=""illusP1""><em>A</em>, a police officer, without warrant, apprehends <em>Z</em>, who has committed murder. Here <em>A</em> is not guilty of the offence of wrongful confinement, for he was bound by law to apprehend <em>Z</em>, and therefore the case falls within the general exception which provides that &#8220;nothing is an offence which is done by a person who is bound by law to do it&#8221;.<div class=""sourceNote"">[Indian PC 1860, s. 6]</div></div></div></div></div>"
"224"|"7"|"Expression once explained is used in the same sense throughout this Code"|"<div class=""prov1Txt"" id=""pr7-.""><strong>7.</strong>&#160;&#160;Every expression which is explained in any part of this Code is used in every part of this Code in conformity with the explanation.<div class=""sourceNote"">[Indian PC 1860, s. 7]</div></div>"
"224"|"8"|"“Gender”"|"<div class=""prov1Txt"" id=""pr8-.""><strong>8.</strong>&#160;&#160;The pronoun &#8220;he&#8221; and its derivatives are used of any person, whether male or female.<div class=""sourceNote"">[Indian PC 1860, s. 8]</div></div>"
"224"|"9"|"“Number”"|"<div class=""prov1Txt"" id=""pr9-.""><strong>9.</strong>&#160;&#160;Unless the contrary appears from the context, words importing the singular number include the plural number, and words importing the plural number include the singular number.<div class=""sourceNote"">[Indian PC 1860, s. 9]</div></div>"
"224"|"10"|"“Man” and “woman”"|"<div class=""prov1Txt"" id=""pr10-.""><strong>10.</strong>&#160;&#160;The word &#8220;man&#8221; denotes a male human being of any age; &#8220;woman&#8221; denotes a female human being of any age.<div class=""sourceNote"">[Indian PC 1860, s. 10]</div></div>"
